Ano,País,País 1,Pais 2,Título US,Título Original,Diretor,Watchedby,Listado (qtd),Liked,Ranking,Fans,Rating,Duração,Sinopse,Gênero,Gênero 1,Gênero 2,Gênero 3,Temas,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5
2009,['Brazil'],Brazil,--,Dzi Croquettes,Dzi Croquettes,Raphael Alvarez,1k,483,252, ,3,4.0,110,"A Brazilian theatre group that through talent, irony and humour confronted the Brazilian violent dictatorship in the 1970s revolutionising the gay movement worldwide and changing theatre and dance language to an entire generation.",['documentary'],documentary,--,--,--,-,-,--,--,--
2004,['Brazil'],Brazil,--,Turma da Mônica em: Cine Gibi - O Filme,Turma da Mônica em: Cine Gibi - O Filme,Mauricio de Sousa,3.3k,205,409, ,1,3.8,72,"The stories revolve around the adventures of Monica and her friends in the fictional Lemon Tree Street (Bairro do Limoeiro) of São Paulo, inspired by the neighborhood of Cambuí in Campinas and the city of Mogi das Cruzes.","['comedy', 'animation', 'family']",comedy,animation,family,--,-,-,--,--,--
1989,['Brazil'],Brazil,--,How Nice to See You Alive,‘Que Bom Te Ver Viva’,Lúcia Murat,680,492,157, ,6,4.1,110,"Four years after a military coup overthrew the Brazilian government in 1964, all civil rights were suspended and torture became a systematic practice. Using a mix of fiction and documentary this extraordinary film is a searing record of personal memory, political repression and the will to survive. Interviews with eight women who were political prisoners during the military dictatorship are framed by the fantasies and imaginings of an anonymous character, portrayed by actress Irene Ravache. ×","['documentary', 'drama']",documentary,drama,--,--,-,-,--,--,--
2016,['Brazil'],Brazil,--,The Dreamseller,‘O Vendedor de Sonhos’,Jayme Monjardim,1.7k,258,156, ,2,2.4,96,The main actor believes that true success is the attaining WHAT money can’t buy and encourages people to follow their dreams. He forms a huge following which becomes cult like following. Officials start feeling threatened and conspire to kill him.,['drama'],drama,--,--,--,-,-,--,--,--
2013,['Brazil'],Brazil,--,Eu Não Faço a Menor Ideia do Que Eu Tô Fazendo com a Minha Vida,Eu Não Faço a Menor Ideia do Que Eu Tô Fazendo com a Minha Vida,Matheus Souza,2.7k,226,161, ,4,2.6,90,"Clara doesn’t know what she wants to do with her life, until one day she meets Guilherme who helps her to find her own path.","['drama', 'comedy']",drama,comedy,--,--,-,-,--,--,--
2012,['Brazil'],Brazil,--,Housemaids,‘Doméstica’,Gabriel Mascaro,1.4k,340,188, ,0,3.7,76,"Seven adolescents take on the mission of filming, for one week, their family’s housemaids and hand over the footage to the director to make a film. The images that confront us uncover the complex relationship that exists between housemaids and their employers, a relationship that confuses intimacy and power in the workplace and provides us with an insight into the echoes of a colonial past that linger in contemporary Brazil.",['documentary'],documentary,--,--,--,-,-,--,--,--
1999,['Brazil'],Brazil,--,Here We Are Waiting for You,‘Nós que Aqui Estamos Por Vós Esperamos’,Marcelo Masagão,1.7k,296,284, ,10,3.9,73,"A fascinating and poetical collage of countless images from the 20th century with the purpose of revealing matters of life and death during the era and its many social, cultural and political transformations, with the director making several statements on several issues, combining fact and fiction to compose his powerful mosaic of images along with the magnificent music of Wim Mertens. A true work of art that dares to make several questions about the human condition, its contradictions and ironies. ×",['documentary'],documentary,--,--,--,-,-,--,--,--
1969,['Brazil'],Brazil,--,Nelson Cavaquinho,Nelson Cavaquinho,Leon Hirszman,1k,367,375, ,8,4.2,15,"A short film of lovely poetic, observational elements and interviews with the famed samba singer/songwriter Nelson Antônio da Silva, whose adopted last name ‘Cavaquinho’ refers to the small guitar-like instrument that he played and used to compose his songs.","['music', 'documentary']",music,documentary,--,--,-,-,--,--,--
2022,['Brazil'],Brazil,--,Mars One,‘Marte Um’,Gabriel Martins,456,453,126, ,0,3.6,115,"The Martins family are optimistic dreamers, quietly leading their lives in the margins of a major Brazilian city following the disappointing inauguration of a far-right extremist president. A lower-middle-class Black family, they feel the strain of their new reality as the political dust settles. Tércia, the mother, reinterprets her world after an unexpected encounter leaves her wondering if she’s cursed. Her husband, Wellington, puts all of his hopes into the soccer career of their son, Deivinho, who reluctantly follows his father’s ambitions despite secretly aspiring to study astrophysics and colonize Mars. Meanwhile, their older daughter, Eunice, falls in love with a free-spirited young woman and ponders whether it’s time to leave home. ×","['comedy', 'drama']",comedy,drama,--,--,-,-,--,--,--
2016,['Brazil'],Brazil,--,Boy 23: The Forgotten Boys of Brazil,‘Menino 23: Infâncias Perdidas no Brasil’,Belisario Franca,1.2k,235,245, ,4,4.1,79,"The film accompanies the investigation of the historian Sidney Aguilar after the discovery of bricks marked with Nazi swastikas in the interior of São Paulo. They then discover a horrifying fact that during the 1930s, fifty black and mullato boys were taken from an orphanage in Rio de Janeiro to the farm where the bricks were found. There they were identified by numbers and were submitted to slave labour by a family that was part of the political and economic elite of the country and who did not hide their Nazi sympathizing ideals. ×",['documentary'],documentary,--,--,--,-,-,--,--,--
1966,['Brazil'],Brazil,--,Maranhão 66,Maranhão 66,Glauber Rocha,1.5k,322,243, ,1,3.8,11,A report on Sarney’s inauguration as the governor of the Maranhão state. His promises are heard alongside images of the grim reality.,['documentary'],documentary,--,--,--,-,-,--,--,--
2021,['Brazil'],Brazil,--,Just Short of Perfect,‘Amor Sem Medida’,Ale McHaddo,1.3k,220,90, ,1,2.1,94,"A divorced lawyer falls for a charismatic cardiologist. But when their difference in size leads to family friction, is she ready to listen to her heart?","['comedy', 'romance']",comedy,romance,--,--,-,-,--,--,--
2014,['Brazil'],Brazil,--,Alemão,Alemão,José Eduardo Belmonte,2k,222,170, ,0,2.8,109,"Five undercover cops at Complexo do Alemão, one of Rio de Janeiro’s most dangerous areas, have their covers blown by drug dealers. Arrested, they wait execution or to be rescued by police forces that would risk expose a larger operation.","['drama', 'action']",drama,action,--,--,-,-,--,--,--
2021,['Brazil'],Brazil,--,Alvorada,Alvorada,Anna Muylaert,1.1k,318,138, ,1,3.1,80,"The film narrates, from an intimate point of view, the daily life of President Dilma Rousseff in her official residence, the Palácio do Alvorada, while awaiting the verdict of the impeachment process. Portraying the hallways of the palace, designed by Oscar Niemeyer, we see the coming and going of political meetings, the daily routine of the kitchen, the exchange of guards, whispers and phone calls. We feel the growing tension of officials, advisers and former ministers. ×","['history', 'documentary']",history,documentary,--,--,-,-,--,--,--
1982,['Brazil'],Brazil,--,"Go Ahead, Brazil!","‘Pra Frente, Brasil’",Roberto Farias,848,490,156, ,0,3.6,105,"Mid-1970s. When the military regime’s “economic miracle” and the victory of the Brazilian football team on the World Cup serve as a distraction for the persecution of opposition leaders by the political police of the dictatorship. Under this context, Jofre Godoi da Fonseca, an alienated middle-class man, is mistaken for Sarmento, a political activist he met at an airport prior to his assassination. He is then arrested for being “subversive”.","['drama', 'crime']",drama,crime,--,--,-,-,--,--,--
2017,['Brazil'],Brazil,--,Eu Fico Loko,Eu Fico Loko,Bruno Garotti,2k,177,156, ,4,2.3,92,The biography of the Brazilian YouTuber Christian Figueiredo.,['comedy'],comedy,--,--,--,-,-,--,--,--
2018,['Brazil'],Brazil,--,Island,‘Ilha’,Ary Rosa,734,397,231, ,0, ,94,"Emerson and his friend Thacle kidnap Henrique, a famous brazilian filmmaker, in order to get his help in the making of a movie on their home island.",['drama'],drama,--,--,--,-,-,--,--,--
2017,['Brazil'],Brazil,--,Love.com,‘Amor.com’,Anita Barbosa,1.9k,352,172, ,2,2.6,92,It’s a love story between a fashion blogger and a video game blogger. The beauty and the nerd.,['romance'],romance,--,--,--,-,-,--,--,--
2015,['Brazil'],Brazil,--,Kbela,Kbela,Yasmin Thayná,1.3k,383,281, ,1,4.1,23,"Kbela is an experience of being a woman and becoming black. The film’s screenplay is based on the tale of MC K-Bela, which tells the story of a black girl, a resident of Rio’s Baixada Fluminense region, who went through a process of whitening during her life and decided to liberate herself from this, letting her natural hair grow again, getting rid of chemical interference.",[],--,--,--,--,-,-,--,--,--
2004,['Brazil'],Brazil,--,Didi Quer Ser Criança,Didi Quer Ser Criança,Alexandre Boury,3.8k,184,104, ,4,1.9,86,"Didi works at a traditional candy factory. His business is facing some serious problems with the competition of a big company, whose products are full of artifical and dangerous flavors and colorants. Didi tries to warn the kids of the danger, but they don’t believe him, since he’s an adult. He prays to his saints of devotion, St. Cosmas and St. Damian, for a solution. Some other day, he gives shelter to two poor men who, in return, give him some magical candies. After eating them, he turns into a kid and tries again to talk to the other children, who now take him seriously, since he has become one of them. ×","['family', 'comedy']",family,comedy,--,--,-,-,--,--,--
2018,['Brazil'],Brazil,--,Rend Your Heart,‘Rasga Coração’,Jorge Furtado,1.1k,304,222, ,1,3.6,115,"40 years after fighting for what he thought was new and revolutionary, a former anonymous militant against the now fallen Brazilian dictatorship is accused of being conservative, antiquated and anachronistic by his own son.",['drama'],drama,--,--,--,-,-,--,--,--
2001,['Brazil'],Brazil,--,Babilônia 2000,Babilônia 2000,Eduardo Coutinho,1k,314,294, ,9,4.1,80,"Documentary on poor people living in a slum in Rio de Janeiro, on the occasion of New Year’s Eve of 1999.",['documentary'],documentary,--,--,--,-,-,--,--,--
2019,['Brazil'],Brazil,--,Bacurau no Mapa,Bacurau no Mapa,Kleber Mendonça Filho,1.3k,197,253, ,0,3.8,62,"Behind the scenes of Bacurau (2019)’s shooting and pre-production. With exclusive images, directors Kléber Mendonça Filho and Juliano Dornelles show how they made the film an audience and critical success.",['documentary'],documentary,--,--,--,-,-,--,--,--
2021,['Brazil'],Brazil,--,A Vida Depois do Tombo,A Vida Depois do Tombo,Patricia Carvalho,1.4k,95,145, ,0,3.2,120,"Curitiba’s rapper Karol Conká participated in the 21st edition of Big Brother Brasil and was eliminated with 99.17%, the biggest rejection in the history of the reality show. During her participation in the game, the singer was massively criticized for her attitudes and comments towards other participants of the house, such as Lucas Penteado, Juliette Freire, Arcrebiano and Carla Díaz.",['documentary'],documentary,--,--,--,-,-,--,--,--
2013,['Brazil'],Brazil,--,Malaria,‘Malária’,Edson Oda,1.1k,309,315, ,0,3.9,6,A young mercenary is hired to kill Death.,"['action', 'animation', 'western']",action,animation,western,--,-,-,--,--,--
1991,"['Brazil', 'USA']",Brazil,USA,The Christmas Tree,The Christmas Tree,Flamarion Ferreira,1.2k,492,134, ,1,1.2,43,"Heartless Mrs. Mavilda runs an orphanage where kids live in miserable conditions because she keeps all of the donation money for herself. She hires a new assistant who, along with Santa, helps children finally have a merry Christmas.","['family', 'tv-movie', 'animation']",family,tv-movie,animation,--,-,-,--,--,--
1998,['Brazil'],Brazil,--,"Simão, o Fantasma Trapalhão","Simão, o Fantasma Trapalhão",Daniel Filho,3.8k,267,131, ,4,2.4,80,"Two jumbled and coward drivers join a rich family that moves to an ancient castle inhabited by a resented, but friendly ghost.","['fantasy', 'mystery', 'family', 'comedy']",fantasy,mystery,family,--,-,-,--,--,--
2017,['Brazil'],Brazil,--,Neurotic Quest for Serenity,‘TOC: Transtornada Obsessiva Compulsiva’,Paulinho Caruso,1.6k,238,165, ,3,2.8,96,"Kika K is a successful star with millions of fans, but behind the scenes, she is in personal and professional crisis: she has to deal with an obsessive fan, a boyfriend with no concept, professional appointments scheduled by the businesswoman and her obsessive-compulsive disorder",['comedy'],comedy,--,--,--,-,-,--,--,--
2017,['Brazil'],Brazil,--,492: A Man Called Death,‘O Nome da Morte’,Henrique Goldman,1.2k,252,180, ,3,3.2,100,"The story of Júlio Santana, a professional killer who was responsible for almost 500 hundred murders in Brazil.","['drama', 'crime']",drama,crime,--,--,-,-,--,--,--
1962,['Brazil'],Brazil,--,Tocaia no Asfalto,Tocaia no Asfalto,Roberto Pires,482,289,172, ,1,4.0,101,"The psychology and life of Brazilian hitmen, common in the Northeast part of the country. In this particular case, the story revolves around a young and idealistic politician from Salvador, whom the enemies are eager to eliminate.","['thriller', 'crime', 'action']",thriller,crime,action,--,-,-,--,--,--
1988,['Brazil'],Brazil,--,Super Xuxa Versus Down Mood,‘Super Xuxa Contra Baixo Astral’,Anna Penido,2.2k,351,212, ,6,2.8,86,"Down Mood, an evil spirit who lives in the sewers, and whose mission is to bring unhappiness to the world, sees Xuxa on TV asking children to fight for a better world. Threatened by those words, he declares war on her and devises a plan: helped by his allies Titica and Morcegão, he kidnaps Xuxo, her dog.  Helped by Xixa (a gypsy caterpillar) and Rafa, a rebel teenager, Xuxa goes on a mission to get her dog back and save the world from Down Mood.","['comedy', 'music', 'family', 'fantasy']",comedy,music,family,--,-,-,--,--,--
